ccn,hospital_name,created,status,measure_from_date,measure_to_date,m_1a,m_1b,m_1c,m_2a,m_2b,m_2c,m_3a,m_3b,m_3c,m_4
340069,WakeMed Health and Hospitals- Raleigh,2023-09-11 13:05:00,Measures Submitted,2023-06-01,2023-06-30,0,0,0,0,0,0,0,0,0,No
340173,WakeMed Health and Hospitals- Cary,2023-09-11 13:03:00,Measures Submitted,2023-06-01,2023-06-30,0,0,0,0,0,0,0,0,0,No
330394,United Health Services Hospitals,2023-09-11 08:04:00,Measures Submitted,2023-07-01,2023-07-31,0,0,0,0,0,0,0,0,0,No
330394,United Health Services Hospitals,2023-09-11 08:03:00,Measures Submitted,2023-08-01,2023-08-31,0,0,0,0,0,0,0,0,0,No
440017,Holston Valley Medical Center,2023-09-07 16:35:00,Measures Submitted,2023-08-01,2023-08-31,0,0,0,0,0,0,0,0,0,No
440063,Johnson City Medical Center,2023-09-07 16:34:00,Measures Submitted,2023-08-01,2023-08-31,0,0,0,0,0,0,0,0,0,No
440012,Bristol Regional Medical Center,2023-09-07 16:33:00,Measures Submitted,2023-08-01,2023-08-31,0,0,0,0,0,0,0,0,0,No
440176,Indian Path Community Hospital,2023-09-07 16:33:00,Measures Submitted,2023-08-01,2023-08-31,0,0,0,0,0,0,0,0,0,No
220071,Massachusetts General Hospital,2023-09-07 14:41:00,Measures Submitted,2023-08-01,2023-08-31,36,11,3,0,0,0,1,1,0,Yes
160082,UnityPoint Health System,2023-09-07 10:18:00,Measures Submitted,2023-08-01,2023-08-31,2,0,0,0,0,0,0,0,0,Yes
100151,Mayo Clinic Florida,2023-09-07 09:37:00,Measures Submitted,2023-08-01,2023-08-31,53,3,2,0,0,0,8,1,0,Yes
220110,Brigham and Women's Hospital,2023-09-06 17:19:00,Measures Submitted,2023-08-01,2023-08-31,29,9,4,0,0,0,2,0,0,Yes
520070,Mayo Clinic Health System-Northwest Wisconsin Region,2023-09-06 10:54:00,Measures Submitted,2023-08-01,2023-08-31,15,3,3,0,0,0,0,0,0,Yes
340145,Atrium Health Lincoln,2023-09-06 10:25:00,Measures Submitted,2023-08-01,2023-08-31,3,2,0,0,0,0,0,0,0,Yes
340021,Atrium Health Cleveland,2023-09-06 10:23:00,Measures Submitted,2023-08-01,2023-08-31,15,6,1,0,0,0,0,0,0,Yes
340166,Atrium Health University,2023-09-06 10:20:00,Measures Submitted,2023-08-01,2023-08-31,7,5,2,0,0,0,0,0,0,Yes
340130,Atrium Health Union,2023-09-06 10:17:00,Measures Submitted,2023-08-01,2023-08-31,3,3,0,0,0,0,0,0,0,Yes
340098,Atrium Health Pineville,2023-09-06 10:15:00,Measures Submitted,2023-08-01,2023-08-31,12,0,0,0,0,0,0,0,0,Yes
340113,Carolinas Medical Center,2023-09-06 10:12:00,Measures Submitted,2023-08-01,2023-08-31,13,16,3,0,0,0,0,2,0,Yes
340001,Atrium Health Cabarrus,2023-09-06 10:09:00,Measures Submitted,2023-08-01,2023-08-31,24,14,3,0,0,0,0,1,0,No
380103,Kaiser Foundation Hospital - Westside,2023-09-05 17:17:00,Measures Submitted,2023-08-01,2023-08-31,0,0,0,0,0,0,0,0,0,Yes
380091,Kaiser Sunnyside Medical Center,2023-09-05 17:16:00,Measures Submitted,2023-08-01,2023-08-31,0,0,0,0,0,0,0,0,0,Yes
240106,Regions Hospital,2023-09-05 14:50:00,Measures Submitted,2023-08-01,2023-08-31,3,0,0,0,0,0,0,0,0,Yes
240053,Methodist Hospital,2023-09-05 14:47:00,Measures Submitted,2023-08-01,2023-08-31,0,0,0,0,0,0,0,0,0,No
440039,Vanderbilt University Medical Center,2023-09-05 11:21:00,Measures Submitted,2023-08-01,2023-08-31,13,1,1,0,0,0,4,0,0,Yes
330169,Mount Sinai Beth Israel Hospital,2023-09-05 09:27:00,Measures Submitted,2023-08-01,2023-08-31,0,0,0,0,0,0,0,0,0,No
330046,Mount Sinai Morningside Hospital,2023-09-05 09:27:00,Measures Submitted,2023-08-01,2023-08-31,0,0,0,0,0,0,0,0,0,No
330024,Mount Sinai Hospital,2023-09-05 09:26:00,Measures Submitted,2023-08-01,2023-08-31,8,4,2,0,0,0,0,0,0,Yes
420078,Greenville Memorial Hospital,2023-09-05 09:17:00,Measures Submitted,2023-08-01,2023-08-31,7,0,0,0,0,0,1,0,0,Yes
240104,St. Francis Regional Medical Center,2023-09-02 14:05:00,Measures Submitted,2023-08-01,2023-08-31,0,0,0,0,0,0,0,0,0,No
240038,United Hospital,2023-09-02 14:04:00,Measures Submitted,2023-08-01,2023-08-31,0,0,0,0,0,0,0,0,0,No
140067,OSF Saint Francis Medical Center,2023-09-01 15:22:00,Measures Submitted,2023-08-01,2023-08-31,20,4,2,2,2,2,1,0,0,Yes
520037,Marshfield Medical Center-Marshfield,2023-09-01 15:07:00,Measures Submitted,2023-08-01,2023-08-31,3,0,0,0,0,0,1,0,0,Yes
